feature,IV
pol_avg_bm,0.1721
pol_max_bm_risk,0.1585
region_id,0.0983
driver_avg_bm,0.0844
pol_min_exp,0.0778
bm_risk,0.0741
bonus_malus_clean,0.072
driver_claim_rate,0.0615
drivers_x_new,0.0575
region_x_bm,0.0432
experience_year,0.0327
engine_power,0.0271
exp_group,0.0258
power_x_new,0.0235
engine_volume,0.0184
power_per_vol,0.0169
bm_x_exp,0.0166
SCORE_8_avg,0.0163
SCORE_6_avg,0.0158
SCORE_7_avg,0.015
car_age_calc,0.014
vehicle_x_power,0.0137
SCORE_2_avg,0.012
car_year,0.0112
pol_driver_cnt,0.0103
SCORE_10_avg,0.0098
SCORE_4_avg,0.0065
SCORE_11_avg,0.0046
SCORE_9_avg,0.0044
policy_month,0.003
SCORE_5_avg,0.0025
SCORE_12_avg,0.0017
SCORE_3_avg,0.0016
SCORE_1_avg,0.0016
policy_quarter,0.0014
high_power,0.0
bm_is_base,0.0
bm_is_good,0.0
is_individual_person,0.0
bm_is_bad,0.0
is_new_driver,0.0
car_age,0.0
vehicle_type_id,0.0
is_residence,0.0
pol_any_new,0.0
